Source_IP,timingCV,uaEntropy,pathDiversity,headerCount,hasAcceptLanguage,methodVariety,requestSize,Label
192.168.1.89,0.6130,0.7294,0.5510,8,1,0.9811,0.8489,Benign
192.168.1.90,1.3385,0.7031,0.9553,12,1,0.4838,0.7117,Benign
192.168.1.91,0.6968,0.8379,0.4927,17,1,0.9314,0.9486,Benign
192.168.1.92,1.0177,0.7680,0.7623,17,1,0.5738,0.8417,Benign
192.168.1.93,1.1458,0.7589,0.6484,15,1,0.5233,0.6710,Benign
192.168.1.94,0.7688,0.8380,0.9507,10,0,0.8701,0.6524,Benign
192.168.1.95,0.7583,0.7167,0.6782,15,0,0.7679,0.7982,Benign
192.168.1.96,0.7361,0.8260,0.8904,13,1,0.7631,0.7051,Benign
192.168.1.97,1.1186,0.8225,0.4641,13,1,0.8091,0.6710,Benign
192.168.1.98,1.3320,0.7120,0.5886,17,1,0.9088,0.5813,Benign
192.168.1.99,1.0418,0.9451,0.8846,15,1,0.9056,0.7325,Benign
192.168.1.100,1.2470,0.9450,0.9585,14,1,0.4904,0.6739,Benign
192.168.1.101,0.9776,0.7002,0.4794,15,1,0.4999,0.7128,Benign
192.168.1.102,1.2016,0.9581,0.6630,11,1,0.7478,0.6915,Benign
192.168.1.103,1.3419,0.9531,0.9678,10,1,0.7888,0.5473,Benign
192.168.1.104,0.6501,0.7651,0.4204,18,1,0.8172,0.9928,Benign
192.168.1.105,1.1203,0.9869,0.8142,10,1,0.8028,0.6975,Benign
192.168.1.106,0.7817,0.8902,0.5757,15,1,0.7631,0.6952,Benign
192.168.1.107,0.8905,0.8086,0.8154,16,1,0.8967,0.5443,Benign
192.168.1.108,0.6748,0.9782,0.8775,17,1,0.8779,0.9583,Benign
192.168.1.109,0.7012,0.7381,0.8123,9,1,0.7390,0.9202,Benign
192.168.1.110,0.7156,0.7297,0.9242,18,0,0.7458,0.9702,Benign
192.168.1.111,0.7864,0.9620,0.7940,11,1,0.4558,0.9563,Benign
192.168.1.112,0.6169,0.7241,0.8594,15,1,0.7867,0.8437,Benign
192.168.1.113,1.3632,0.7808,0.4548,8,1,0.6569,0.9831,Benign
192.168.1.114,1.2768,0.8172,0.4408,8,1,0.8662,0.9978,Benign
192.168.1.115,1.2554,0.8955,0.6666,13,1,0.5447,0.8494,Benign
192.168.1.116,1.0890,1.0000,0.5307,19,0,0.5679,0.7344,Benign
192.168.1.117,0.6795,0.8659,0.8595,17,1,0.9948,0.8373,Benign
192.168.1.118,1.2528,0.9430,0.7724,9,0,0.6316,0.7113,Benign
192.168.1.119,1.2601,0.9101,0.7574,9,1,0.9202,0.5431,Benign
192.168.1.120,0.6044,0.9996,0.8656,11,1,0.8688,0.6994,Benign
192.168.1.121,0.8137,0.9249,0.7858,8,1,0.7623,0.5455,Benign
192.168.1.122,0.7467,0.8956,0.7742,11,1,0.9521,0.9072,Benign
192.168.1.123,1.2938,0.8119,0.6937,11,1,0.4773,0.7405,Benign
192.168.1.124,1.0631,0.7683,0.7498,12,0,0.6851,0.8836,Benign
192.168.1.125,1.3404,0.9943,0.6673,18,1,0.8507,0.8336,Benign
192.168.1.126,1.2872,0.7103,0.7856,10,1,0.5401,0.7161,Benign
192.168.1.127,1.2137,0.7526,0.6708,15,1,0.5253,0.6151,Benign
192.168.1.128,0.8807,0.9062,0.9935,17,1,0.5375,0.6449,Benign
192.168.1.129,1.0141,0.9635,0.4944,8,1,0.8678,0.6102,Benign
192.168.1.130,0.8726,0.9812,0.7345,12,0,0.6406,0.7650,Benign
192.168.1.131,0.8481,0.8753,0.7805,19,1,0.7174,0.7025,Benign
192.168.1.132,1.1218,0.8975,0.8213,17,1,0.8005,0.8555,Benign
192.168.1.133,0.7191,0.8326,0.8386,13,1,0.6903,0.5893,Benign
192.168.1.134,0.7256,0.7845,0.4899,15,0,0.7777,0.9541,Benign
192.168.1.135,1.2455,0.8058,0.6490,8,1,0.8141,0.8855,Benign
192.168.1.136,0.9854,0.8846,0.6923,13,0,0.7463,0.7657,Benign
192.168.1.137,0.7981,0.9091,0.4463,18,1,0.6809,0.7431,Benign
192.168.1.138,1.1938,0.7922,0.6434,18,1,0.6748,0.5586,Benign
192.168.1.139,0.7852,0.9976,0.4014,8,1,0.4339,0.8629,Benign
192.168.1.140,0.7864,0.7001,0.7029,9,1,0.6340,0.6029,Benign
192.168.1.141,1.1874,0.7795,0.6861,19,1,0.5604,0.6984,Benign
192.168.1.142,0.6811,0.8745,0.4174,11,1,0.4993,0.5434,Benign
192.168.1.143,0.8321,0.7121,0.7635,13,1,0.7315,0.7756,Benign
192.168.1.144,1.1714,0.7256,0.7740,16,1,0.7065,0.7316,Benign
192.168.1.145,0.8492,0.8113,0.5790,18,1,0.8168,0.8513,Benign
192.168.1.146,0.7015,0.9604,0.8879,9,1,0.7505,0.6819,Benign
192.168.1.147,1.0514,0.7750,0.5777,9,1,0.9262,0.8737,Benign
192.168.1.148,1.0823,0.9688,0.5805,15,1,0.9524,0.9824,Benign
192.168.1.149,0.7629,0.9464,0.4388,19,1,0.9512,0.7487,Benign
192.168.1.150,1.3942,0.9953,0.8862,12,1,0.5155,0.8481,Benign
192.168.1.151,0.7763,0.9580,0.4657,16,0,0.5655,0.9742,Benign
192.168.1.152,0.8752,0.9661,0.6310,16,1,0.8570,0.7280,Benign
192.168.1.153,1.1235,0.9301,0.8642,10,0,0.5823,0.8299,Benign
192.168.1.154,0.6315,0.7753,0.9481,16,1,0.5678,0.8256,Benign
192.168.1.155,0.6501,0.8524,0.5755,8,1,0.9859,0.6372,Benign
192.168.1.156,0.6052,0.8653,0.4845,17,0,0.5889,0.6198,Benign
192.168.1.157,0.6561,0.7064,0.4365,14,1,0.7624,0.7104,Benign
192.168.1.158,0.8696,0.9716,0.7894,10,1,0.8379,0.8224,Benign
192.168.1.159,0.7417,0.9842,0.5817,10,1,0.5572,0.8597,Benign
192.168.1.160,1.1778,0.7038,0.9241,8,1,0.9590,0.9100,Benign
192.168.1.161,1.0896,0.9841,0.8854,9,1,0.7353,0.8207,Benign
192.168.1.162,1.0761,0.9550,0.9559,9,1,0.5642,0.9556,Benign
192.168.1.163,1.3292,0.9874,0.6273,9,1,0.6104,0.7990,Benign
192.168.1.164,1.0119,0.9859,0.7969,8,1,0.8670,0.9992,Benign
192.168.1.165,0.9391,0.9734,0.7194,13,1,0.6483,0.5138,Benign
192.168.1.166,0.6384,0.9700,0.5242,18,1,0.4508,0.6551,Benign
192.168.1.167,1.3650,0.8096,0.4359,18,1,0.4957,0.7683,Benign
192.168.1.168,0.9098,0.9122,0.9024,19,1,0.8107,0.7086,Benign
192.168.1.169,0.6337,0.9030,0.6225,9,1,0.7304,0.7170,Benign
192.168.1.170,1.2498,0.8509,0.4426,14,1,0.9898,0.9668,Benign
192.168.1.171,1.3150,0.8535,0.5439,11,1,0.8471,0.6053,Benign
192.168.1.172,1.3112,0.9735,0.8673,18,1,0.9670,0.5907,Benign
192.168.1.173,0.7406,0.8611,0.9625,18,1,0.6741,0.8080,Benign
192.168.1.174,0.8804,0.7481,0.5339,16,1,0.9383,0.7052,Benign
192.168.1.175,0.9885,0.7241,0.6414,16,1,0.9350,0.6209,Benign
192.168.1.176,1.1003,0.7777,0.5681,15,0,0.6159,0.6089,Benign
192.168.1.177,1.3387,0.9175,0.9927,18,1,0.6336,0.7574,Benign
192.168.1.178,1.1374,0.9137,0.8592,9,1,0.7990,0.5348,Benign
192.168.1.179,1.1102,0.9126,0.6444,11,1,0.6394,0.9085,Benign
192.168.1.180,1.2322,0.9522,0.7921,8,1,0.7111,0.8376,Benign
192.168.1.181,1.0334,0.7846,0.8973,18,1,0.6041,0.8210,Benign
192.168.1.182,1.1179,0.7601,0.9344,8,1,0.4731,0.7858,Benign
192.168.1.183,1.0449,0.9526,0.4783,10,1,0.7142,0.8250,Benign
192.168.1.184,1.0882,0.7150,0.5155,13,1,0.4508,0.5209,Benign
192.168.1.185,1.1137,0.8141,0.6873,17,1,0.7323,0.8866,Benign
192.168.1.186,0.7559,0.8499,0.8507,10,1,0.8667,0.9816,Benign
192.168.1.187,1.0490,0.9715,0.8553,19,1,0.7911,0.8381,Benign
192.168.1.188,0.8434,0.7395,0.6827,14,1,0.9094,0.9510,Benign
192.168.1.189,0.6405,0.8567,0.8834,15,0,0.8866,0.7616,Benign
192.168.1.190,1.1521,0.9980,0.6227,13,1,0.9686,0.9010,Benign
192.168.1.191,1.3837,0.8087,0.5043,14,1,0.7926,0.6806,Benign
192.168.1.192,1.3058,0.7071,0.4307,17,1,0.4342,0.8489,Benign
192.168.1.193,0.7276,0.9693,0.5878,15,1,0.8423,0.7879,Benign
192.168.1.194,0.7194,0.9069,0.5712,13,1,0.6988,0.8323,Benign
192.168.1.195,1.2886,0.8956,0.8152,17,1,0.6418,0.6006,Benign
192.168.1.196,0.7782,0.8255,0.7483,11,1,0.5534,0.5421,Benign
192.168.1.197,0.8192,0.7783,0.6073,8,1,0.4562,0.6609,Benign
192.168.1.198,0.8429,0.8156,0.9145,9,0,0.6200,0.6492,Benign
192.168.1.199,0.7277,0.7462,0.7583,17,1,0.4511,0.5359,Benign
192.168.1.200,0.8627,0.9574,0.9101,15,1,0.7218,0.8476,Benign
10.0.0.1,0.0604,0.1043,0.1888,5,0,0.0668,0.1480,DNS
10.0.0.2,0.1385,0.2787,0.0995,4,0,0.0070,0.0704,LDAP
10.0.0.3,0.0806,0.1678,0.0660,3,0,0.0950,0.1222,MSSQL
10.0.0.4,0.0534,0.2377,0.1564,4,0,0.0417,0.1459,NetBIOS
10.0.0.5,0.1396,0.3941,0.1139,3,0,0.0157,0.0760,NTP
10.0.0.6,0.1306,0.2824,0.0538,5,0,0.0352,0.1188,SNMP
10.0.0.7,0.0973,0.1202,0.1080,4,0,0.1128,0.1045,SSDP
10.0.0.8,0.0537,0.2515,0.0879,4,0,0.0819,0.0674,UDP
10.0.0.9,0.1099,0.1788,0.0882,5,0,0.0160,0.1286,UDP-Lag
10.0.0.10,0.1867,0.2052,0.0994,3,0,0.0059,0.0528,WebDDoS
10.0.0.11,0.1561,0.3158,0.1720,6,1,0.1418,0.0916,DNS
10.0.0.12,0.1148,0.2793,0.1713,3,0,0.0582,0.0585,LDAP
10.0.0.13,0.1839,0.3819,0.1598,3,0,0.0946,0.0632,MSSQL
10.0.0.14,0.1001,0.2086,0.1647,3,0,0.1305,0.0790,NetBIOS
10.0.0.15,0.1911,0.3452,0.0523,3,0,0.1710,0.0820,NTP
10.0.0.16,0.0939,0.2709,0.0963,4,0,0.0942,0.0803,SNMP
10.0.0.17,0.1508,0.1033,0.1651,6,0,0.0477,0.0985,SSDP
10.0.0.18,0.1644,0.1664,0.1478,3,0,0.0102,0.0732,UDP
10.0.0.19,0.0685,0.1036,0.0860,6,1,0.0452,0.0973,UDP-Lag
10.0.0.20,0.1378,0.2472,0.0887,4,0,0.0700,0.1328,WebDDoS
10.0.0.21,0.0565,0.1204,0.1051,4,0,0.0300,0.1302,DNS
10.0.0.22,0.1467,0.1223,0.1149,4,0,0.0785,0.1202,LDAP
10.0.0.23,0.0774,0.3182,0.0754,5,0,0.0377,0.0759,MSSQL
10.0.0.24,0.1643,0.1388,0.1003,3,0,0.1968,0.1293,NetBIOS
10.0.0.25,0.1808,0.3708,0.1357,3,0,0.1762,0.1272,NTP
10.0.0.26,0.0806,0.3337,0.0696,6,0,0.0125,0.1030,SNMP
10.0.0.27,0.1732,0.3483,0.1179,6,0,0.0128,0.1332,SSDP
10.0.0.28,0.0731,0.1834,0.1042,3,0,0.1797,0.0583,UDP
10.0.0.29,0.1320,0.2264,0.1697,6,0,0.1273,0.1448,UDP-Lag
10.0.0.30,0.1617,0.2703,0.0800,4,1,0.1877,0.1434,WebDDoS
10.0.0.31,0.1819,0.1055,0.1815,5,0,0.0502,0.0709,DNS
10.0.0.32,0.1036,0.1789,0.1923,3,1,0.0658,0.1420,LDAP
10.0.0.33,0.1161,0.1258,0.1307,4,0,0.0166,0.0822,MSSQL
10.0.0.34,0.0637,0.2740,0.1317,6,0,0.1602,0.1373,NetBIOS
10.0.0.35,0.1503,0.2581,0.1108,4,1,0.0737,0.1473,NTP
10.0.0.36,0.1026,0.3837,0.0691,4,0,0.0215,0.0679,SNMP
10.0.0.37,0.0548,0.1500,0.0988,6,0,0.0795,0.1348,SSDP
10.0.0.38,0.1862,0.2246,0.1647,6,0,0.1371,0.1311,UDP
10.0.0.39,0.1053,0.3084,0.0541,6,1,0.0417,0.1113,UDP-Lag
10.0.0.40,0.1605,0.3378,0.1878,3,0,0.1252,0.0861,WebDDoS
10.0.0.41,0.1975,0.3447,0.1507,6,0,0.1037,0.0728,DNS
10.0.0.42,0.1323,0.1350,0.1188,5,0,0.0898,0.0681,LDAP
10.0.0.43,0.1083,0.1731,0.1513,5,0,0.0711,0.1117,MSSQL
10.0.0.44,0.1611,0.3973,0.1722,5,0,0.0289,0.0624,NetBIOS
10.0.0.45,0.0775,0.1599,0.1038,6,0,0.1983,0.0701,NTP
10.0.0.46,0.1827,0.1986,0.0992,4,0,0.1335,0.0522,SNMP
10.0.0.47,0.1301,0.1237,0.1925,6,0,0.1537,0.1339,SSDP
10.0.0.48,0.1694,0.2227,0.1496,5,0,0.0713,0.0961,UDP
10.0.0.49,0.1781,0.2025,0.1620,5,0,0.0051,0.0691,UDP-Lag
10.0.0.50,0.0868,0.1585,0.1065,6,0,0.0896,0.0811,WebDDoS
10.0.0.51,0.0580,0.2472,0.1206,6,0,0.0295,0.0732,DNS
10.0.0.52,0.0875,0.3392,0.1214,6,0,0.0666,0.1487,LDAP
10.0.0.53,0.1707,0.3443,0.1799,3,0,0.0216,0.0996,MSSQL
10.0.0.54,0.0747,0.1813,0.1165,4,0,0.1761,0.0809,NetBIOS
10.0.0.55,0.1980,0.1134,0.0993,3,0,0.1160,0.0700,NTP
10.0.0.56,0.1418,0.3919,0.1066,3,0,0.1035,0.0739,SNMP
10.0.0.57,0.1677,0.1777,0.1287,3,1,0.1819,0.1435,SSDP
10.0.0.58,0.1356,0.3142,0.1558,4,0,0.0938,0.0616,UDP
10.0.0.59,0.1940,0.3473,0.1473,5,0,0.0715,0.0765,UDP-Lag
10.0.0.60,0.0590,0.1762,0.1685,6,0,0.0882,0.0997,WebDDoS
10.0.0.61,0.0500,0.1338,0.0890,6,0,0.1192,0.0671,DNS
10.0.0.62,0.1611,0.1853,0.1370,5,0,0.0228,0.0539,LDAP
10.0.0.63,0.1538,0.3493,0.1772,4,0,0.1302,0.0977,MSSQL
10.0.0.64,0.1723,0.1906,0.0740,6,0,0.1233,0.0701,NetBIOS
10.0.0.65,0.1094,0.3530,0.0938,6,0,0.0088,0.0763,NTP
10.0.0.66,0.1076,0.2789,0.0736,6,0,0.0865,0.0873,SNMP
10.0.0.67,0.1576,0.1393,0.0826,5,0,0.0357,0.1288,SSDP
10.0.0.68,0.1300,0.3815,0.1277,5,1,0.0294,0.0603,UDP
10.0.0.69,0.1079,0.1908,0.1598,5,0,0.0922,0.0822,UDP-Lag
10.0.0.70,0.1457,0.3814,0.1101,6,0,0.0714,0.0624,WebDDoS
10.0.0.71,0.1224,0.1714,0.1546,4,0,0.1503,0.1478,DNS
10.0.0.72,0.1789,0.2399,0.0512,5,0,0.1611,0.0586,LDAP
10.0.0.73,0.1759,0.3235,0.1627,6,0,0.0268,0.0907,MSSQL
10.0.0.74,0.1409,0.2731,0.0614,4,0,0.1404,0.0921,NetBIOS
10.0.0.75,0.1825,0.1601,0.1030,5,0,0.0240,0.0633,NTP
10.0.0.76,0.0652,0.1913,0.1434,6,0,0.1791,0.0798,SNMP
10.0.0.77,0.1122,0.3861,0.1570,5,0,0.0739,0.1311,SSDP
10.0.0.78,0.0581,0.1557,0.1455,6,0,0.1797,0.0815,UDP
10.0.0.79,0.0919,0.3952,0.1457,4,0,0.1654,0.0727,UDP-Lag
10.0.0.80,0.1646,0.2050,0.1960,3,0,0.1685,0.0684,WebDDoS
10.0.0.81,0.1013,0.3470,0.1714,3,0,0.0972,0.1082,DNS
10.0.0.82,0.1110,0.2472,0.1131,6,1,0.0809,0.0518,LDAP
10.0.0.83,0.0588,0.2695,0.0507,5,0,0.1054,0.1202,MSSQL
10.0.0.84,0.1176,0.3039,0.1443,3,0,0.1106,0.1123,NetBIOS
10.0.0.85,0.1088,0.2946,0.1510,5,0,0.0127,0.1284,NTP
10.0.0.86,0.0631,0.2500,0.1060,3,0,0.1854,0.0701,SNMP
10.0.0.87,0.1390,0.2587,0.1314,4,0,0.0543,0.1130,SSDP
10.0.0.88,0.1787,0.2188,0.1134,6,1,0.0777,0.1170,UDP
10.0.0.89,0.1701,0.1722,0.0608,3,0,0.0177,0.1342,UDP-Lag
10.0.0.90,0.0902,0.1875,0.0802,3,1,0.0026,0.0508,WebDDoS
10.0.0.91,0.1260,0.3458,0.1818,3,0,0.0891,0.1190,DNS
10.0.0.92,0.0633,0.2420,0.1176,6,0,0.1445,0.0501,LDAP
10.0.0.93,0.0989,0.3030,0.1669,4,0,0.0090,0.0859,MSSQL
10.0.0.94,0.1115,0.1356,0.0540,4,0,0.0246,0.1236,NetBIOS
10.0.0.95,0.0884,0.2012,0.0680,6,0,0.0370,0.1057,NTP
10.0.0.96,0.1059,0.1454,0.1291,5,0,0.0827,0.1221,SNMP
10.0.0.97,0.1368,0.3798,0.0605,4,1,0.0323,0.0525,SSDP
10.0.0.98,0.1261,0.1261,0.1737,6,1,0.1117,0.1438,UDP
10.0.0.99,0.1773,0.1348,0.1073,5,0,0.0282,0.1015,UDP-Lag
10.0.0.100,0.1551,0.2940,0.1053,5,0,0.1648,0.0764,WebDDoS
10.0.0.101,0.1130,0.2305,0.1966,4,1,0.0344,0.1029,DNS
10.0.0.102,0.0901,0.2035,0.1288,3,0,0.0568,0.1332,LDAP
10.0.0.103,0.1823,0.3381,0.0597,3,0,0.0753,0.1212,MSSQL
10.0.0.104,0.1181,0.3942,0.1863,4,0,0.0622,0.0798,NetBIOS
10.0.0.105,0.1847,0.2451,0.0948,4,0,0.1215,0.0921,NTP
10.0.0.106,0.1257,0.3908,0.1810,3,0,0.1360,0.1285,SNMP
10.0.0.107,0.1019,0.3428,0.1765,4,0,0.0301,0.1022,SSDP
10.0.0.108,0.1887,0.1499,0.1846,3,0,0.0195,0.0706,UDP
10.0.0.109,0.1905,0.2101,0.1349,5,0,0.1489,0.1454,UDP-Lag
10.0.0.110,0.1981,0.2284,0.0634,6,0,0.1941,0.1190,WebDDoS
10.0.0.111,0.0981,0.3698,0.0847,3,0,0.1881,0.0748,DNS
10.0.0.112,0.1654,0.3536,0.0588,5,0,0.0712,0.1082,LDAP
10.0.0.113,0.1303,0.3809,0.1188,6,0,0.0282,0.0855,MSSQL
10.0.0.114,0.1055,0.1138,0.1318,6,0,0.1933,0.0687,NetBIOS
10.0.0.115,0.0777,0.2366,0.1448,5,1,0.1502,0.1060,NTP
10.0.0.116,0.0778,0.3633,0.0975,5,0,0.0644,0.0912,SNMP
10.0.0.117,0.0742,0.1614,0.0909,6,1,0.0994,0.1417,SSDP
10.0.0.118,0.0687,0.1645,0.0943,3,0,0.0178,0.1367,UDP
10.0.0.119,0.0999,0.1437,0.0938,4,0,0.1864,0.1497,UDP-Lag
10.0.0.120,0.0601,0.3395,0.1362,3,0,0.0053,0.1439,WebDDoS
10.0.0.121,0.1119,0.2265,0.1612,6,0,0.1163,0.1310,DNS
10.0.0.122,0.1239,0.1085,0.1598,6,1,0.0804,0.1098,LDAP
10.0.0.123,0.1376,0.2658,0.1347,5,0,0.1778,0.0821,MSSQL
10.0.0.124,0.0647,0.3865,0.0886,6,1,0.1141,0.1430,NetBIOS
10.0.0.125,0.1330,0.2840,0.1468,3,0,0.1869,0.1150,NTP
10.0.0.126,0.1332,0.3135,0.1236,5,0,0.0558,0.0811,SNMP
10.0.0.127,0.0618,0.3046,0.1146,4,0,0.0211,0.1015,SSDP
10.0.0.128,0.1139,0.1696,0.0848,5,0,0.1887,0.0885,UDP
10.0.0.129,0.1292,0.1573,0.1546,6,0,0.1305,0.0644,UDP-Lag
10.0.0.130,0.0562,0.2983,0.1586,4,0,0.0921,0.0555,WebDDoS
10.0.0.131,0.1292,0.2873,0.1117,6,0,0.0406,0.0738,DNS
10.0.0.132,0.1231,0.2568,0.0781,5,0,0.1275,0.1388,LDAP
10.0.0.133,0.1267,0.1523,0.0500,3,0,0.0316,0.1113,MSSQL
